house_area,full_square_meter,num,weekday,square_meter,date,house_type
锦江区,592.09,0,7,0,2017-09-17,新房
成华区,1374.69,0,7,0,2017-09-17,新房
金牛区,2134.72,0,7,0,2017-09-17,新房
青羊区,219.24,0,7,0,2017-09-17,新房
武侯区,3040.54,0,7,0,2017-09-17,新房
高新区,6160.51,0,7,0,2017-09-17,新房
成华区,0,0,7,0,2017-09-17,二手房
高新区,0,0,7,0,2017-09-17,二手房
金牛区,0,0,7,0,2017-09-17,二手房
锦江区,0,0,7,0,2017-09-17,二手房
青羊区,0,0,7,0,2017-09-17,二手房
武侯区,0,0,7,0,2017-09-17,二手房
house_area,full_square_meter,num,weekday,square_meter,date,house_type
锦江区,2285.93,17,1,1481.65,2017-09-18,新房
成华区,14320.46,97,1,9465.15,2017-09-18,新房
金牛区,2541.48,8,1,773.44,2017-09-18,新房
青羊区,3563.49,26,1,1570.15,2017-09-18,新房
武侯区,1663.18,4,1,666.15,2017-09-18,新房
高新区,13839.04,68,1,8859.27,2017-09-18,新房
锦江区,4133.67,44,1,3584.82,2017-09-18,二手房
金牛区,9211.15,47,1,4267.54,2017-09-18,二手房
成华区,5212.1,54,1,4303.58,2017-09-18,二手房
武侯区,8216.18,67,1,6171.69,2017-09-18,二手房
青羊区,5885.61,59,1,4831.97,2017-09-18,二手房
高新区,6969.05,55,1,5383.38,2017-09-18,二手房
house_type,house_area,num,full_square_meter,square_meter,date,weekday
新房,锦江区,20,3363.51,1814.29,2017-09-19,2
新房,成华区,113,15378.24,10989.6,2017-09-19,2
新房,金牛区,11,5707.7,993.06,2017-09-19,2
新房,武侯区,19,3681.14,2591.85,2017-09-19,2
新房,青羊区,10,3727.29,1196.43,2017-09-19,2
新房,高新区,69,13324.78,9365.65,2017-09-19,2
二手房,锦江区,65,6585.56,5009.68,2017-09-19,2
二手房,金牛区,64,6899.26,5391.47,2017-09-19,2
二手房,成华区,85,7206.7,6902.6,2017-09-19,2
二手房,武侯区,57,6293.78,5359.09,2017-09-19,2
二手房,青羊区,65,6053.56,5341.3,2017-09-19,2
二手房,高新区,55,7084.28,5214.62,2017-09-19,2
house_type,house_area,num,full_square_meter,square_meter,date,weekday
新房,锦江区,11,4855.48,1273.26,2017-09-20,3
新房,成华区,56,7759.39,5725.18,2017-09-20,3
新房,金牛区,22,4706.88,2329.24,2017-09-20,3
新房,青羊区,33,3848.6,2868.39,2017-09-20,3
新房,武侯区,25,3604.89,2562.17,2017-09-20,3
新房,高新区,8,5398.8,1271.4,2017-09-20,3
二手房,锦江区,53,4716.01,4082.02,2017-09-20,3
二手房,成华区,68,5982.29,5722.78,2017-09-20,3
二手房,金牛区,57,5227.95,4756.11,2017-09-20,3
二手房,武侯区,72,6828.85,6367.63,2017-09-20,3
二手房,青羊区,70,5896.76,5516.95,2017-09-20,3
二手房,高新区,59,7808.1,6374.38,2017-09-20,3
house_type,house_area,num,full_square_meter,square_meter,date,weekday
新房,锦江区,16,1306.9,1220.14,2017-09-21,4
新房,金牛区,15,5348.36,1263.86,2017-09-21,4
新房,成华区,70,12190.21,7312.56,2017-09-21,4
新房,青羊区,62,9376.29,7845.57,2017-09-21,4
新房,武侯区,9,1874.53,1552.27,2017-09-21,4
新房,高新区,65,13251.9,8439.98,2017-09-21,4
二手房,锦江区,62,4912.11,4569.92,2017-09-21,4
二手房,成华区,84,7073.89,6446.79,2017-09-21,4
二手房,金牛区,86,7395.44,6656.25,2017-09-21,4
二手房,武侯区,69,7251.95,6521.94,2017-09-21,4
二手房,青羊区,52,5353.42,4227.78,2017-09-21,4
二手房,高新区,70,8331.03,6569.18,2017-09-21,4
house_type,house_area,num,full_square_meter,square_meter,date,weekday
新房,锦江区,24,2978.05,1917.22,2017-09-22,5
新房,成华区,72,11012.88,7173.63,2017-09-22,5
新房,金牛区,16,4891.2,1651.28,2017-09-22,5
新房,武侯区,22,4395.82,3178.59,2017-09-22,5
新房,青羊区,68,6958.7,5835.12,2017-09-22,5
新房,高新区,41,13818.04,5276.69,2017-09-22,5
二手房,锦江区,66,5654.34,4980.5,2017-09-22,5
二手房,金牛区,71,6539.46,5859.54,2017-09-22,5
二手房,成华区,92,7901.13,7356.38,2017-09-22,5
二手房,青羊区,66,6278.06,5797.32,2017-09-22,5
二手房,武侯区,61,5674.47,5206.88,2017-09-22,5
二手房,高新区,72,8795.87,7492.56,2017-09-22,5
house_type,house_area,num,full_square_meter,square_meter,date,weekday
新房,锦江区,0,33.31,0,2017-09-23,6
新房,成华区,0,1428.91,0,2017-09-23,6
新房,金牛区,0,3098.28,0,2017-09-23,6
新房,青羊区,0,264.77,0,2017-09-23,6
新房,武侯区,2,698.74,381,2017-09-23,6
新房,高新区,0,1939.99,0,2017-09-23,6
二手房,锦江区,9,837.2,741.28,2017-09-23,6
二手房,金牛区,16,1495.96,1342.01,2017-09-23,6
二手房,成华区,12,1096.08,1063.2,2017-09-23,6
二手房,武侯区,19,1908.25,1816.8,2017-09-23,6
二手房,青羊区,17,1631.44,1528.78,2017-09-23,6
二手房,高新区,16,1609.83,1573.87,2017-09-23,6
house_type,house_area,num,full_square_meter,square_meter,date,weekday
新房,锦江区,0,380,0,2017-09-24,7
